"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","QGDP","TOT","PC_CHGPP","Q","1955-Q2",0.070309361,
"GBR","QGDP","TOT","PC_CHGPP","Q","1955-Q3",1.948748832,
"GBR","QGDP","TOT","PC_CHGPP","Q","1955-Q4",-0.489991897,
"GBR","QGDP","TOT","PC_CHGPP","Q","1956-Q1",1.219215197,
"GBR","QGDP","TOT","PC_CHGPP","Q","1956-Q2",-0.239853231,
"GBR","QGDP","TOT","PC_CHGPP","Q","1956-Q3",-0.138680575,
"GBR","QGDP","TOT","PC_CHGPP","Q","1956-Q4",0.339635458,
"GBR","QGDP","TOT","PC_CHGPP","Q","1957-Q1",2.08055963,
"GBR","QGDP","TOT","PC_CHGPP","Q","1957-Q2",0.028737538,
"GBR","QGDP","TOT","PC_CHGPP","Q","1957-Q3",-0.59373849,
"GBR","QGDP","TOT","PC_CHGPP","Q","1957-Q4",0.062248044,
"GBR","QGDP","TOT","PC_CHGPP","Q","1958-Q1",2.204727908,
"GBR","QGDP","TOT","PC_CHGPP","Q","1958-Q2",-2.306438173,
"GBR","QGDP","TOT","PC_CHGPP","Q","1958-Q3",2.187328478,
"GBR","QGDP","TOT","PC_CHGPP","Q","1958-Q4",0.079116795,
"GBR","QGDP","TOT","PC_CHGPP","Q","1959-Q1",0.630258196,
"GBR","QGDP","TOT","PC_CHGPP","Q","1959-Q2",1.661273234,
"GBR","QGDP","TOT","PC_CHGPP","Q","1959-Q3",2.16016561,
"GBR","QGDP","TOT","PC_CHGPP","Q","1959-Q4",2.519066488,
"GBR","QGDP","TOT","PC_CHGPP","Q","1960-Q1",2.497106227,
"GBR","QGDP","TOT","PC_CHGPP","Q","1960-Q2",-0.785893541,
"GBR","QGDP","TOT","PC_CHGPP","Q","1960-Q3",1.501031751,
"GBR","QGDP","TOT","PC_CHGPP","Q","1960-Q4",0.699740958,
"GBR","QGDP","TOT","PC_CHGPP","Q","1961-Q1",1.587735751,
"GBR","QGDP","TOT","PC_CHGPP","Q","1961-Q2",0.37310084,
"GBR","QGDP","TOT","PC_CHGPP","Q","1961-Q3",-0.481567586,
"GBR","QGDP","TOT","PC_CHGPP","Q","1961-Q4",-0.245157812,
"GBR","QGDP","TOT","PC_CHGPP","Q","1962-Q1",0.492807329,
"GBR","QGDP","TOT","PC_CHGPP","Q","1962-Q2",0.944930283,
"GBR","QGDP","TOT","PC_CHGPP","Q","1962-Q3",0.566978272,
"GBR","QGDP","TOT","PC_CHGPP","Q","1962-Q4",-0.427566027,
"GBR","QGDP","TOT","PC_CHGPP","Q","1963-Q1",0.457268801,
"GBR","QGDP","TOT","PC_CHGPP","Q","1963-Q2",4.415065315,
"GBR","QGDP","TOT","PC_CHGPP","Q","1963-Q3",0.475790821,
"GBR","QGDP","TOT","PC_CHGPP","Q","1963-Q4",2.191614535,
"GBR","QGDP","TOT","PC_CHGPP","Q","1964-Q1",0.67919602,
"GBR","QGDP","TOT","PC_CHGPP","Q","1964-Q2",1.859715319,
"GBR","QGDP","TOT","PC_CHGPP","Q","1964-Q3",0.369280877,
"GBR","QGDP","TOT","PC_CHGPP","Q","1964-Q4",1.511680388,
"GBR","QGDP","TOT","PC_CHGPP","Q","1965-Q1",-0.298284023,
"GBR","QGDP","TOT","PC_CHGPP","Q","1965-Q2",0.064351154,
"GBR","QGDP","TOT","PC_CHGPP","Q","1965-Q3",0.819103386,
"GBR","QGDP","TOT","PC_CHGPP","Q","1965-Q4",0.663052054,
"GBR","QGDP","TOT","PC_CHGPP","Q","1966-Q1",0.148968339,
"GBR","QGDP","TOT","PC_CHGPP","Q","1966-Q2",0.545034745,
"GBR","QGDP","TOT","PC_CHGPP","Q","1966-Q3",0.344458306,
"GBR","QGDP","TOT","PC_CHGPP","Q","1966-Q4",-0.458801395,
"GBR","QGDP","TOT","PC_CHGPP","Q","1967-Q1",1.317534707,
"GBR","QGDP","TOT","PC_CHGPP","Q","1967-Q2",1.440041892,
"GBR","QGDP","TOT","PC_CHGPP","Q","1967-Q3",0.469435602,
"GBR","QGDP","TOT","PC_CHGPP","Q","1967-Q4",0.531467933,
"GBR","QGDP","TOT","PC_CHGPP","Q","1968-Q1",3.597325298,
"GBR","QGDP","TOT","PC_CHGPP","Q","1968-Q2",-0.404438026,
"GBR","QGDP","TOT","PC_CHGPP","Q","1968-Q3",1.960227859,
"GBR","QGDP","TOT","PC_CHGPP","Q","1968-Q4",0.42205837,
"GBR","QGDP","TOT","PC_CHGPP","Q","1969-Q1",-0.270110917,
"GBR","QGDP","TOT","PC_CHGPP","Q","1969-Q2",0.793325956,
"GBR","QGDP","TOT","PC_CHGPP","Q","1969-Q3",0.561986454,
"GBR","QGDP","TOT","PC_CHGPP","Q","1969-Q4",0.418261945,
"GBR","QGDP","TOT","PC_CHGPP","Q","1970-Q1",-0.666233102,
"GBR","QGDP","TOT","PC_CHGPP","Q","1970-Q2",2.454907566,
"GBR","QGDP","TOT","PC_CHGPP","Q","1970-Q3",0.969263565,
"GBR","QGDP","TOT","PC_CHGPP","Q","1970-Q4",0.908748333,
"GBR","QGDP","TOT","PC_CHGPP","Q","1971-Q1",-0.569256328,
"GBR","QGDP","TOT","PC_CHGPP","Q","1971-Q2",1.822515408,
"GBR","QGDP","TOT","PC_CHGPP","Q","1971-Q3",1.785165394,
"GBR","QGDP","TOT","PC_CHGPP","Q","1971-Q4",0.355881806,
"GBR","QGDP","TOT","PC_CHGPP","Q","1972-Q1",0.143977482,
"GBR","QGDP","TOT","PC_CHGPP","Q","1972-Q2",2.666919382,
"GBR","QGDP","TOT","PC_CHGPP","Q","1972-Q3",0.27376782,
"GBR","QGDP","TOT","PC_CHGPP","Q","1972-Q4",1.576602872,
"GBR","QGDP","TOT","PC_CHGPP","Q","1973-Q1",4.914568643,
"GBR","QGDP","TOT","PC_CHGPP","Q","1973-Q2",0.171075585,
"GBR","QGDP","TOT","PC_CHGPP","Q","1973-Q3",-0.967071611,
"GBR","QGDP","TOT","PC_CHGPP","Q","1973-Q4",-0.388652205,
"GBR","QGDP","TOT","PC_CHGPP","Q","1974-Q1",-2.77211595,
"GBR","QGDP","TOT","PC_CHGPP","Q","1974-Q2",1.460443045,
"GBR","QGDP","TOT","PC_CHGPP","Q","1974-Q3",0.619858824,
"GBR","QGDP","TOT","PC_CHGPP","Q","1974-Q4",-1.453322278,
"GBR","QGDP","TOT","PC_CHGPP","Q","1975-Q1",0.036182289,
"GBR","QGDP","TOT","PC_CHGPP","Q","1975-Q2",-1.631100285,
"GBR","QGDP","TOT","PC_CHGPP","Q","1975-Q3",-0.361044415,
"GBR","QGDP","TOT","PC_CHGPP","Q","1975-Q4",1.143078175,
"GBR","QGDP","TOT","PC_CHGPP","Q","1976-Q1",1.651501165,
"GBR","QGDP","TOT","PC_CHGPP","Q","1976-Q2",-0.113298767,
"GBR","QGDP","TOT","PC_CHGPP","Q","1976-Q3",1.282334351,
"GBR","QGDP","TOT","PC_CHGPP","Q","1976-Q4",2.129114714,
"GBR","QGDP","TOT","PC_CHGPP","Q","1977-Q1",-0.040598004,
"GBR","QGDP","TOT","PC_CHGPP","Q","1977-Q2",-0.734829231,
"GBR","QGDP","TOT","PC_CHGPP","Q","1977-Q3",0.693448514,
"GBR","QGDP","TOT","PC_CHGPP","Q","1977-Q4",1.712047587,
"GBR","QGDP","TOT","PC_CHGPP","Q","1978-Q1",0.747507279,
"GBR","QGDP","TOT","PC_CHGPP","Q","1978-Q2",1.180597003,
"GBR","QGDP","TOT","PC_CHGPP","Q","1978-Q3",1.370045655,
"GBR","QGDP","TOT","PC_CHGPP","Q","1978-Q4",0.890391031,
"GBR","QGDP","TOT","PC_CHGPP","Q","1979-Q1",-0.517510419,
"GBR","QGDP","TOT","PC_CHGPP","Q","1979-Q2",4.430060558,
