DATE,GDP
1/1/1975,180405
4/1/1975,177442.3
7/1/1975,176835.5
10/1/1975,178863.1
1/1/1976,181693.7
4/1/1976,181393.5
7/1/1976,183664.4
10/1/1976,187560.4
1/1/1977,187613.7
4/1/1977,186310.5
7/1/1977,187608.3
10/1/1977,190827
1/1/1978,192529
4/1/1978,194771.8
7/1/1978,197449.6
10/1/1978,199240.3
1/1/1979,198533.1
4/1/1979,207302.7
7/1/1979,202701.3
10/1/1979,204845.6
1/1/1980,202901.2
4/1/1980,198842.4
7/1/1980,198646.1
10/1/1980,196470.2
1/1/1981,196223.3
4/1/1981,196624.9
7/1/1981,198742.9
10/1/1981,198991.6
1/1/1982,199378.6
4/1/1982,201503.9
7/1/1982,202025.7
10/1/1982,203445.6
1/1/1983,207170.7
4/1/1983,208942.3
7/1/1983,211229.5
10/1/1983,213054.5
1/1/1984,214529.5
4/1/1984,212651.1
7/1/1984,214026.7
10/1/1984,218259.1
1/1/1985,220048.9
4/1/1985,224709.1
7/1/1985,224905.3
10/1/1985,225448.8
1/1/1986,228005.5
4/1/1986,229697.6
7/1/1986,230743
10/1/1986,234865.1
1/1/1987,237048.3
4/1/1987,240525.6
7/1/1987,246369.6
10/1/1987,249159.6
1/1/1988,253600
4/1/1988,255094.9
7/1/1988,258980.1
10/1/1988,261210.3
1/1/1989,262361.5
4/1/1989,264088.9
7/1/1989,264352
10/1/1989,264603.4
1/1/1990,266386.8
4/1/1990,267755.2
7/1/1990,264959.8
10/1/1990,264048.2
1/1/1991,263277.6
4/1/1991,262945.7
7/1/1991,262371.5
10/1/1991,262827.3
1/1/1992,262846.3
4/1/1992,262536.1
7/1/1992,264208.2
10/1/1992,266048.6
1/1/1993,267973.1
4/1/1993,269301.6
7/1/1993,271423.3
10/1/1993,273224.8
1/1/1994,276437.1
4/1/1994,279663
7/1/1994,282859
10/1/1994,284574.6
1/1/1995,284908.8
4/1/1995,285982.3
7/1/1995,288712.8
10/1/1995,289250.3
1/1/1996,290923.9
4/1/1996,291933.9
7/1/1996,295311.4
10/1/1996,299309
1/1/1997,305004.5
4/1/1997,307689
7/1/1997,309854.9
10/1/1997,313513.8
1/1/1998,316365
4/1/1998,319304
7/1/1998,321564.6
10/1/1998,324659
1/1/1999,326569.6
4/1/1999,327139.4
7/1/1999,332754.9
10/1/1999,337668.8
1/1/2000,340388
4/1/2000,342450.6
7/1/2000,343455.4
10/1/2000,344266.6
1/1/2001,348277.2
4/1/2001,350966.9
7/1/2001,353674.8
10/1/2001,355061.7
1/1/2002,356452.2
4/1/2002,358198.7
7/1/2002,360580
10/1/2002,363426.9
1/1/2003,366132.2
4/1/2003,369474.1
7/1/2003,373682.7
10/1/2003,377159.2
1/1/2004,378483.7
4/1/2004,379876.7
7/1/2004,380558.5
10/1/2004,381513.8
1/1/2005,384555.2
4/1/2005,389073.9
7/1/2005,393177.4
10/1/2005,398565.4
1/1/2006,400418.8
4/1/2006,401500.9
7/1/2006,401873.5
10/1/2006,403746.8
1/1/2007,407553.3
4/1/2007,409851.3
7/1/2007,412986.5
10/1/2007,415095.1
1/1/2008,417322.8
4/1/2008,414987.5
7/1/2008,408503.4
10/1/2008,400086.1
1/1/2009,393329.4
4/1/2009,392582.5
7/1/2009,393068
10/1/2009,394414.1
1/1/2010,396944
4/1/2010,401031.9
7/1/2010,403957.8
10/1/2010,404093.3
1/1/2011,405552.3
4/1/2011,405899.7
7/1/2011,407265
10/1/2011,407798.2
1/1/2012,410623.4
4/1/2012,410019.8
7/1/2012,415017.9
10/1/2012,414119
1/1/2013,416310.1
4/1/2013,419657.3
7/1/2013,423580.2
10/1/2013,426299.4
1/1/2014,429573.5
4/1/2014,432370
7/1/2014,434809.6
10/1/2014,437355.1
1/1/2015,439721.7
4/1/2015,443005.4
7/1/2015,444720.6
10/1/2015,447638.7
1/1/2016,448529.7
4/1/2016,450560.2
7/1/2016,451936.8
10/1/2016,454633.4
1/1/2017,456888.8
4/1/2017,458227.1
7/1/2017,460167.3
10/1/2017,461800.9
1/1/2018,462119.7
4/1/2018,463887.9
7/1/2018,466654.8
10/1/2018,467433
1/1/2019,470015
4/1/2019,470665.5
7/1/2019,473006
10/1/2019,473087.6
1/1/2020,458804.7
4/1/2020,372766.5
7/1/2020,432422.1
