DATE,INT
1/1/1970,9.06
2/1/1970,8.79
3/1/1970,8.75
4/1/1970,8.94
5/1/1970,9.4
6/1/1970,9.58
7/1/1970,9.33
8/1/1970,9.21
9/1/1970,9.29
10/1/1970,9.16
11/1/1970,9.51
12/1/1970,9.62
1/1/1971,9.68
2/1/1971,9.35
3/1/1971,9.09
4/1/1971,9.13
5/1/1971,9.36
6/1/1971,9.16
7/1/1971,9.22
8/1/1971,8.96
9/1/1971,8.5
10/1/1971,8.51
11/1/1971,7.79
12/1/1971,8.1
1/1/1972,7.93
2/1/1972,7.9
3/1/1972,8.16
4/1/1972,8.26
5/1/1972,8.6
6/1/1972,9.32
7/1/1972,9.23
8/1/1972,9.36
9/1/1972,9.54
10/1/1972,9.46
11/1/1972,9.45
12/1/1972,9.62
1/1/1973,9.56
2/1/1973,9.65
3/1/1973,10.01
4/1/1973,9.93
5/1/1973,10.02
6/1/1973,10.15
7/1/1973,10.6
8/1/1973,11.3
9/1/1973,11.55
10/1/1973,11.28
11/1/1973,12
12/1/1973,12.5
1/1/1974,12.89
2/1/1974,13.5
3/1/1974,13.68
4/1/1974,14.21
5/1/1974,13.8
6/1/1974,14.38
7/1/1974,14.88
8/1/1974,15.29
9/1/1974,14.95
10/1/1974,15.68
11/1/1974,16.75
12/1/1974,17.18
1/1/1975,16.02
2/1/1975,14.58
3/1/1975,13.43
4/1/1975,13.89
5/1/1975,14.53
6/1/1975,14.41
7/1/1975,13.93
8/1/1975,13.87
9/1/1975,13.79
10/1/1975,14.66
11/1/1975,14.81
12/1/1975,14.79
1/1/1976,13.79
2/1/1976,13.46
3/1/1976,13.88
4/1/1976,13.77
5/1/1976,13.59
6/1/1976,14.09
7/1/1976,14.16
8/1/1976,14.33
9/1/1976,14.79
10/1/1976,16.03
11/1/1976,15.79
12/1/1976,15.48
1/1/1977,14.48
2/1/1977,13.93
3/1/1977,13.25
4/1/1977,13.05
5/1/1977,12.69
6/1/1977,13.26
7/1/1977,13.62
8/1/1977,13.12
9/1/1977,11.88
10/1/1977,10.98
