DATE,JPNNGDP
1994-01-01,510129.3
1994-04-01,509013.1
1994-07-01,512968.5
1994-10-01,511572.6
1995-01-01,514942.60
1995-04-01,518756.6
1995-07-01,525358.8
1995-10-01,527011.3
1996-01-01,529106.0
1996-04-01,536022.1
1996-07-01,536100.00
1996-10-01,541125.8
1997-01-01,542203.1
1997-04-01,544054.5
1997-07-01,544011.0
1997-10-01,544944.9
1998-01-01,538025.0
1998-04-01,534795.5
1998-07-01,533893.6
1998-10-01,539269.6
1999-01-01,529086.4
1999-04-01,529003.6
1999-07-01,528591.8
1999-10-01,527853.0
2000-01-01,535188.7
2000-04-01,535349.6
2000-07-01,534439.8
2000-10-01,537844.1
2001-01-01,542540.0
2001-04-01,534251.2
2001-07-01,527027.5
2001-10-01,523928.8
2002-01-01,525445.0
2002-04-01,524235.3
2002-07-01,524200.4
2002-10-01,524425.9
2003-01-01,521346.0
2003-04-01,524522.9
2003-07-01,524388.3
2003-10-01,526399.3
2004-01-01,529392.8
2004-04-01,527650.00
2004-07-01,530509.9
2004-10-01,529901.3
2005-01-01,529872.5
2005-04-01,531358.7
2005-07-01,534635.5
2005-10-01,534688.1
2006-01-01,534463.5
2006-04-01,534101.6
2006-07-01,532325.4
2006-10-01,539760.4
2007-01-01,541855.4
2007-04-01,542278.8
2007-07-01,536570.8
2007-10-01,536554.1
2008-01-01,537556.1
2008-04-01,533936.1
2008-07-01,523295.2
2008-10-01,516659.0
2009-01-01,492206.1
2009-04-01,498063.80
2009-07-01,493607.6
2009-10-01,496301.5
2010-01-01,501467.7
2010-04-01,505180.1
2010-07-01,510913.9
2010-10-01,505161.4
2011-01-01,498620.3
2011-04-01,490859.4
2011-07-01,501037.90
2011-10-01,500156.9
2012-01-01,507493.5
2012-04-01,500295.7
2012-07-01,497550.9
2012-10-01,497157.2
2013-01-01,502971.2
2013-04-01,507607.1
2013-07-01,512877.2
2013-10-01,512391.9
2014-01-01,516684.5
2014-04-01,517913.0
2014-07-01,518284.4
2014-10-01,522041.0
2015-01-01,534758.4
2015-04-01,538182.6
2015-07-01,539944.8
2015-10-01,539267.6
2016-01-01,545324.7
2016-04-01,543394.0
2016-07-01,543631.1
2016-10-01,544497.8
2017-01-01,547617.5
2017-04-01,550643.7
2017-07-01,557198.3
2017-10-01,556733.7
2018-01-01,558317.3
2018-04-01,558969.8
2018-07-01,555514.4
2018-10-01,553473.3
2019-01-01,558584.9
2019-04-01,560903.5
2019-07-01,561727.9
2019-10-01,550179.2
2020-01-01,554370.4
2020-04-01,512683.2
2020-07-01,539791.7
2020-10-01,548385.5
2021-01-01,548404.4
2021-04-01,550676.5
2021-07-01,547718.9
2021-10-01,551480.1
2022-01-01,552832.6
2022-04-01,558619.2
2022-07-01,554150.9
2022-10-01,560607.3
